ID | Name | Kanji | Class | Utility | Cost
29 | Binbōgami | 貧乏神 | Utility | Curse Transfer: Moves debuffs from Player to NPC. | Drains a large amount of Player Gold.
30 | Fūrin-bi | 風鈴火 | Utility | Energy Recharge: Restores MP/Shikigami points. | Requires a windy environment.
31 | Nezumi-otoko | ねずみ男 | Utility | Black Market: Buy/Sell "Illegal" esoteric goods. | Takes a high commission on all sales.
32 | Futakuchi-onna | 二口女 | Utility | Double-Casting: Use two Yokai simultaneously. | Consumes double "Food" resources.
33 | Amefuri-kozō | 雨降小僧 | Utility | Fire Extinguisher: Localized rain puts out fires. | Player gets "Soaked" (Speed debuff).
34 | Umi-bōzu | 海坊主 | Utility | Fog Cover: Massive smoke screen for escapes. | Only usable near large bodies of water.
35 | Zeniarai-benten | 銭洗弁天 | Utility | Money Cleansing: Purifies "Cursed" Horseman Gold. | Requires a ritual washing at a spring.
36 | Kyūbi-no-kitsune | 九尾の狐 | Utility | Master Catalyst: Massive buff to all Yokai stats. | Requires a permanent, heavy sacrifice.
37 | Tengu | 天狗 | Enforcer | Kinetic Strike: Wind gust blows back objects. | High cooldown; spiritual fatigue.
38 | Ushioni | 牛鬼 | Enforcer | Shadow Trap: Paralyzes a target via their shadow. | Can only be used in bright light.
39 | Wanyūdō | 輪入道 | Enforcer | Fire Wall: Flaming wheel protects your perimeter. | Drains "Fuel" items from inventory.
40 | Gashadokuro | がしゃどくろ | Enforcer | Heavy Siege: Smashes through walls/barriers. | Requires 10+ "Corpse" markers nearby.
41 | Jorōgumo | 絡新婦 | Enforcer | Crowd Control: Binds multiple enemies in silk. | Vulnerable to Fire-based Goetic attacks.
42 | Nekomata | 猫又 | Enforcer | Body Puppet: Reanimates a fallen enemy. | Consumes a "Spirit Thread" item.
43 | Raijū | 雷獣 | Enforcer | EMP / Stun: Disables electronics/Goetia. | Requires a thunder/power source.
44 | Basan | 波山 | Enforcer | Ghost Fire: Cold fire damages spirits only. | Player must "feed" it wood or paper.
45 | Kurozuka | 黒塚 | Enforcer | Life Leech: Steals HP from a target. | Increases Player "Corruption" level.
46 | Hannya | 般若 | Enforcer | Aggro Draw: Forces all enemies to attack it. | High Sanity cost to summon.
47 | Katashiro | 形代 | Shikigami | Decoy: Creates a paper clone of the player. | Consumes 1 Paper Doll item.
48 | Zenki & Goki | 前鬼・後鬼 | Shikigami | Bodyguards: Passive physical defense buff. | Constant drain on Spirit Energy.
49 | Origami-Tsuru | 折鶴 | Shikigami | Messenger: Delivers a seal to a distant target. | Name must be written on the paper.
50 | Hitogata | 人形 | Shikigami | Curse Eater: Absorbs one status effect. | Doll is destroyed upon use.
51 | Cho-gata | 蝶形 | Shikigami | Tracer: Paper butterfly tracks an NPC. | Requires a physical touch.
52 | Ofuda | 御札 | Shikigami | Banishment: Final strike against a Goetia. | High crafting cost (Rare Ink/Paper).
